category_name,order_region,order_volume,gross_revenue,net_profit,profit_margin_pct
Toys,Oceania,135,1557.9,239.15,15.35
Hockey,Eastern Asia,16,1075.0,238.28,22.17
Men's Golf Clubs,Caribbean,13,1969.83,232.76,11.82
Girls' Apparel,Central Africa,17,2459.84,232.13,9.44
Hockey,Oceania,37,2166.0,231.64,10.69
Golf Gloves,Southeast Asia,34,2748.96,227.13,8.26
Baseball & Softball,East Africa,7,1109.79,226.12,20.38
Baby ,Southeast Asia,38,2245.04,221.55,9.87
Golf Balls,West of USA ,65,3384.03,220.32,6.51
Basketball,Southern Europe,12,3599.88,218.25,6.06
Hockey,Eastern Europe,13,850.0,217.83,25.63
Golf Balls,US Center ,69,3689.86,206.73,5.6
Golf Apparel,East of USA,22,1319.34,206.13,15.62
Toys,Eastern Asia,115,1327.1,205.34,15.47
Golf Balls,Northern Europe,35,1602.09,203.44,12.7
Books ,Southern Europe,44,1367.52,202.56,14.81
Hunting & Shooting,Eastern Europe,6,689.77,199.14,28.87
Hockey,East of USA,25,1770.0,196.59,11.11
Boxing & MMA,Central Africa,6,824.55,195.84,23.75
Baseball & Softball,Eastern Asia,23,2934.34,193.66,6.6
Trade-In,North Africa,19,975.42,190.05,19.48
Lacrosse,Eastern Europe,10,599.76,186.36,31.07
Hockey,Central Africa,10,696.0,184.09,26.45
Lacrosse,South Asia,9,724.71,181.69,25.07
Lacrosse,North Africa,10,724.71,181.39,25.03
Electronics,Central Asia,12,1423.66,180.57,12.68
Golf Gloves,Southern Africa,7,634.8,172.89,27.24
Tennis & Racquet,Southeast Asia,18,2519.44,171.96,6.83
Tennis & Racquet,Eastern Europe,8,1034.77,171.1,16.54
Trade-In,South of  USA ,19,1029.39,170.0,16.51
Golf Shoes,Canada,3,650.0,165.99,25.54
Lacrosse,Eastern Asia,13,1024.59,165.77,16.18
Girls' Apparel,Canada,10,1329.9,163.77,12.31
Books ,Oceania,28,870.24,163.73,18.81
Strength Training,South America,6,1134.0,163.58,14.43
Baseball & Softball,Eastern Europe,16,2209.54,162.91,7.37
Fitness Accessories,South of  USA ,7,874.75,161.71,18.49
Lacrosse,East of USA,13,949.62,161.2,16.98
Golf Bags & Carts,Northern Europe,4,679.96,160.45,23.6
Tennis & Racquet,Central Africa,4,494.89,158.19,31.96
Hunting & Shooting,South Asia,15,1349.55,155.42,11.52
Hockey,Southern Europe,27,2525.97,153.13,6.06
Boxing & MMA,East Africa,4,604.67,151.9,25.12
Golf Gloves,East of USA,30,2418.99,145.59,6.02
Women's Golf Clubs,Northern Europe,18,4659.56,144.79,3.11
Boxing & MMA,Canada,4,769.58,141.49,18.39
Strength Training,Central America,9,1701.0,141.32,8.31
Golf Gloves,Central Africa,7,424.83,138.85,32.68
Golf Balls,North Africa,36,1976.89,137.72,6.97
Boxing & MMA,South America,41,9107.62,136.14,1.49
Golf Balls,South of  USA ,36,1828.94,134.88,7.37
Fitness Accessories,Oceania,19,1364.61,131.78,9.66
Hunting & Shooting,East Africa,4,419.86,127.62,30.4
Golf Balls,Southeast Asia,68,3629.9,127.31,3.51
DVDs,Southern Europe,39,6410.82,126.04,1.97
Golf Balls,East Africa,17,987.47,124.47,12.6
Baseball & Softball,Central Africa,8,1304.72,123.94,9.5
Golf Apparel,South Asia,14,759.62,117.09,15.41
Toys,South Asia,80,923.2,116.6,12.63
Girls' Apparel,Central Asia,6,504.97,114.4,22.65
Lacrosse,West of USA ,14,999.6,112.17,11.22
CDs ,Western Europe,68,767.72,110.98,14.46
Hunting & Shooting,Central Africa,5,389.87,110.17,28.26
Tennis & Racquet,South of  USA ,8,989.78,107.58,10.87
Lacrosse,Oceania,15,1224.51,106.56,8.7
Fitness Accessories,Eastern Europe,5,594.83,105.37,17.71
Golf Balls,Southern Africa,10,499.7,102.7,20.55
Fitness Accessories,Eastern Asia,16,1399.6,101.75,7.27
Golf Gloves,Central Asia,4,394.86,100.75,25.52
Fitness Accessories,Caribbean,17,1609.54,100.22,6.23
Golf Apparel,US Center ,12,719.64,100.08,13.91
Golf Shoes,East Africa,2,390.0,99.53,25.52
Men's Clothing,Southeast Asia,54,11385.9,98.0,0.86
Lacrosse,Caribbean,12,799.68,96.0,12.0
Tennis & Racquet,Canada,3,314.93,93.41,29.66
Lacrosse,South of  USA ,5,324.87,93.03,28.64
Men's Clothing,Eastern Asia,51,10753.35,92.65,0.86
Tennis & Racquet,Eastern Asia,13,1484.67,92.49,6.23
Golf Shoes,West Africa,8,1365.0,91.43,6.7
Hunting & Shooting,West of USA ,12,1139.62,91.27,8.01
Golf Balls,South Asia,74,3978.85,90.48,2.27
Golf Gloves,Eastern Europe,23,1489.41,90.39,6.07
Tennis & Racquet,Central Asia,1,224.95,90.38,40.18
Golf Gloves,South Asia,53,3758.52,90.17,2.4
Girls' Apparel,East Africa,6,375.0,84.53,22.54
Trade-In,Canada,8,373.8,82.77,22.14
Golf Apparel,Southeast Asia,15,979.51,81.87,8.36
Boxing & MMA,Southern Africa,4,659.64,81.36,12.33
Hockey,North Africa,11,786.0,81.1,10.32
Fitness Accessories,US Center ,14,1469.58,80.95,5.51
Golf Apparel,Eastern Europe,6,339.83,80.08,23.56
Trade-In,East Africa,8,401.76,78.64,19.57
Hunting & Shooting,West Asia,16,1289.57,76.7,5.95
Hockey,West of USA ,28,2015.0,76.36,3.79
Golf Gloves,Canada,5,439.83,76.33,17.35
Golf Apparel,West Asia,12,699.65,75.93,10.85
Golf Gloves,North Africa,15,984.57,73.82,7.5
Baseball & Softball,Southern Africa,7,1124.75,72.09,6.41
CDs ,Northern Europe,31,349.99,70.39,20.11
As Seen on  TV!,Southern Europe,10,2699.73,68.21,2.53
Tennis & Racquet,Northern Europe,17,2249.5,66.45,2.95
Electronics,US Center ,117,13594.58,65.38,0.48
Golf Apparel,West Africa,12,759.62,64.69,8.52
CDs ,Eastern Asia,35,395.15,64.58,16.34
Hunting & Shooting,US Center ,8,719.76,61.89,8.6
Hunting & Shooting,Southern Africa,1,149.95,58.5,39.01
Books ,Northern Europe,52,1616.16,58.2,3.6
Golf Apparel,South of  USA ,5,339.83,57.82,17.01
Books ,South Asia,15,466.2,55.42,11.89
Hockey,East Africa,4,298.0,54.77,18.38
Hockey,Southern Africa,2,150.0,54.68,36.45
Tennis & Racquet,East Africa,1,224.95,52.91,23.52
Golf Gloves,East Africa,7,389.82,52.78,13.54
Boxing & MMA,Oceania,11,2033.89,51.72,2.54
Golf Balls,Central Africa,15,779.57,50.83,6.52
CDs ,South Asia,24,270.96,49.84,18.39
Hockey,Canada,2,169.0,49.52,29.3
Golf Apparel,Oceania,16,819.59,45.51,5.55
Trade-In,Eastern Asia,43,2298.69,45.04,1.96
CDs ,Southeast Asia,31,349.99,43.82,12.52
Lacrosse,Canada,1,124.95,42.73,34.2
Fitness Accessories,Central Africa,2,174.95,41.63,23.8
Electronics,Canada,22,2451.37,40.82,1.67
Tennis & Racquet,Caribbean,16,2429.46,40.73,1.68
Golf Gloves,Eastern Asia,49,3473.49,39.61,1.14
Trade-In,Central Africa,7,257.85,39.42,15.29
Golf Apparel,East Africa,4,219.89,37.95,17.26
Golf Apparel,Central Africa,2,119.94,37.66,31.4
Fitness Accessories,Canada,3,279.92,35.9,12.83
Hunting & Shooting,Canada,2,119.96,35.77,29.82
CDs ,Oceania,48,541.92,32.21,5.94
Golf Apparel,West of USA ,15,1119.44,31.76,2.84
Accessories,Southern Africa,16,1474.41,31.46,2.13
Lacrosse,East Africa,1,99.96,30.84,30.85
Boxing & MMA,South of  USA ,8,1154.37,30.48,2.64
Baseball & Softball,Canada,1,104.97,30.44,29.0
Lacrosse,Central Africa,1,124.95,27.61,22.1
Tennis & Racquet,Southern Africa,2,314.93,25.67,8.15
Trade-In,Southern Africa,11,583.68,23.58,4.04
Fitness Accessories,Southern Africa,2,104.97,20.29,19.33
Boxing & MMA,Southeast Asia,15,1704.07,20.14,1.18
Hunting & Shooting,Central Asia,4,419.86,18.88,4.5
Hunting & Shooting,West Africa,11,899.7,15.08,1.68
CDs ,Southern Europe,34,383.86,12.03,3.13
Tennis & Racquet,South Asia,13,1709.62,11.33,0.66
Golf Apparel,Central Asia,1,79.96,6.54,8.18
Golf Bags & Carts,Caribbean,1,169.99,6.43,3.78
Trade-In,Oceania,62,3314.16,5.93,0.18
Lacrosse,West Asia,8,724.71,4.9,0.68
Hockey,West Africa,15,963.0,4.61,0.48
Golf Shoes,Southern Africa,2,325.0,4.09,1.26
Golf Apparel,Southern Africa,2,139.93,2.37,1.69
Trade-In,Central Asia,1,43.98,1.58,3.59
Golf Balls,Central Asia,2,29.98,-3.74,-12.47
Shop By Sport,Central Asia,28,3599.16,-5.56,-0.15
Electronics,West Africa,69,8695.84,-7.31,-0.08
Fitness Accessories,West Africa,11,1469.58,-9.25,-0.63
Lacrosse,Southern Africa,1,49.98,-13.64,-27.29
Tennis & Racquet,West Asia,18,2384.47,-16.86,-0.71
Hockey,US Center ,31,1852.0,-22.27,-1.2
Fitness Accessories,East Africa,1,139.96,-22.78,-16.28
Kids' Golf Clubs,South America,35,7719.86,-23.45,-0.3
Golf Apparel,Eastern Asia,12,599.7,-24.0,-4.0
Fitness Accessories,North Africa,8,769.78,-28.61,-3.72
Lacrosse,West Africa,10,749.7,-29.61,-3.95
As Seen on  TV!,South America,10,2199.78,-30.56,-1.39
Golf Balls,West Africa,41,2278.71,-32.73,-1.44
Baby ,Oceania,34,2008.72,-33.0,-1.64
Golf Apparel,Canada,2,79.96,-40.77,-50.99
Golf Apparel,Northern Europe,30,3429.55,-43.01,-1.25
Books ,Eastern Asia,20,621.6,-43.21,-6.95
Hunting & Shooting,East of USA,21,1799.4,-44.83,-2.49
Golf Balls,Canada,11,573.65,-45.86,-7.99
As Seen on  TV!,Northern Europe,11,3899.61,-48.57,-1.25
Golf Shoes,Oceania,9,1950.0,-51.25,-2.63
Golf Shoes,Eastern Europe,4,455.0,-55.5,-12.2
Girls' Apparel,Southern Africa,11,1964.93,-56.36,-2.87
Lacrosse,Central Asia,2,124.95,-58.42,-46.75
Hockey,South Asia,26,2100.0,-59.12,-2.82
Baby ,South Asia,16,945.28,-59.19,-6.26
Golf Apparel,Caribbean,25,1759.38,-66.07,-3.76
Girls' Apparel,East of USA,59,6284.8,-67.88,-1.08
Accessories,Central Asia,10,849.66,-71.33,-8.4
Lacrosse,US Center ,13,1049.58,-77.17,-7.35
Soccer,Caribbean,10,1549.84,-80.38,-5.19
Golf Apparel,North Africa,10,619.69,-97.26,-15.69
Trade-In,Eastern Europe,18,1093.41,-97.37,-8.91
Golf Bags & Carts,Southern Europe,10,1699.9,-102.7,-6.04
Golf Shoes,Caribbean,23,4126.0,-114.91,-2.79
Boxing & MMA,Central Asia,2,384.79,-118.57,-30.81
Hunting & Shooting,Eastern Asia,13,1499.5,-137.15,-9.15
Books ,Southeast Asia,34,1056.72,-143.71,-13.6
Hunting & Shooting,North Africa,5,509.83,-151.84,-29.78
Cameras ,South Asia,3,1356.12,-156.74,-11.56
As Seen on  TV!,Caribbean,1,99.99,-163.18,-163.2
Boxing & MMA,North Africa,9,1814.01,-168.72,-9.3
As Seen on  TV!,Central America,15,5299.47,-204.78,-3.86
Strength Training,Caribbean,3,567.0,-205.43,-36.23
Girls' Apparel,Northern Europe,55,6329.62,-233.26,-3.69
Baseball & Softball,West Africa,12,1929.57,-254.93,-13.21
Hunting & Shooting,Caribbean,22,3029.4,-278.8,-9.2
Tennis & Racquet,US Center ,17,2474.45,-311.81,-12.6
Golf Gloves,West Asia,39,2708.94,-337.31,-12.45
Hockey,Northern Europe,21,2397.96,-377.98,-15.76
Boxing & MMA,West Africa,8,1319.28,-411.43,-31.19
Lacrosse,Southern Europe,19,4249.29,-437.88,-10.3
Men's Clothing,South Asia,45,9488.25,-486.31,-5.13
DVDs,Western Europe,117,19232.46,-491.15,-2.55
Golf Shoes,North Africa,8,1625.0,-501.48,-30.86
Boxing & MMA,Eastern Europe,11,2253.77,-575.51,-25.54
Golf Shoes,West Asia,13,2535.0,-859.53,-33.91
Computers,Oceania,11,16500.0,-2628.86,-15.93
Strength Training,Northern Europe,24,14856.89,-3162.15,-21.28
